"transaction_month","transaction_count","active_customers","transaction_value","platform_revenue","average_transaction_value"
"2024-01-01","6025","3714","89101650.00","582672.49","14788.66"
"2024-02-01","5646","3607","81578233.39","529343.67","14448.85"
"2024-03-01","6086","3743","89151180.87","585050.59","14648.57"
"2024-04-01","5898","3684","86836628.47","569873.04","14723.06"
"2024-05-01","6124","3761","89328218.03","590376.55","14586.58"
"2024-06-01","5877","3642","84909927.87","564533.45","14447.84"
"2024-07-01","6069","3699","88938943.89","583568.22","14654.63"
"2024-08-01","6066","3674","90619486.41","590691.57","14938.92"
"2024-09-01","5868","3622","86770284.67","575926.30","14787.03"
"2024-10-01","6166","3777","90122010.22","587131.82","14615.96"
"2024-11-01","5859","3688","86698622.48","571215.07","14797.51"
"2024-12-01","6056","3768","89671365.02","589577.24","14807.03"
"2025-01-01","6047","3696","88622464.08","582224.06","14655.61"
"2025-02-01","5449","3455","81282541.46","536422.18","14916.96"
"2025-03-01","6140","3815","91203640.11","582664.01","14854.01"
"2025-04-01","6009","3729","87990823.38","575576.07","14643.17"
"2025-05-01","6106","3721","92029444.52","599719.05","15071.97"
"2025-06-01","5713","3576","86430114.03","566406.34","15128.67"
"2025-07-01","6011","3746","88707668.23","587491.68","14757.56"
"2025-08-01","6182","3797","90778609.34","599762.91","14684.34"
"2025-09-01","6023","3710","84775446.61","570707.00","14075.29"
"2025-10-01","5973","3722","87061739.48","575515.06","14575.88"
"2025-11-01","5942","3767","86627441.50","574087.57","14578.84"
"2025-12-01","6031","3720","88449275.63","582103.81","14665.77"
