"transaction_type","payment_method","channel","transaction_count","transaction_value","platform_revenue","average_transaction_value"
"Bank Transfer","Debit Card","Mobile App","2882","102959939.72","401616.32","35725.17"
"Bank Transfer","Bank Transfer","Mobile App","2176","80953924.02","317521.72","37203.09"
"Bank Transfer","Mobile Wallet","Mobile App","2012","73530830.14","285822.14","36546.14"
"Bank Transfer","Debit Card","POS","1903","69860882.86","270660.70","36710.92"
"Bank Transfer","Credit Card","Mobile App","1775","62763058.47","243473.33","35359.47"
"Bank Transfer","Debit Card","Web","1444","52405962.70","204699.89","36292.22"
"Bank Transfer","Bank Transfer","POS","1418","51937343.69","203036.44","36627.18"
"Bank Transfer","Mobile Wallet","POS","1316","49956647.56","195759.90","37960.98"
"Bank Transfer","Credit Card","POS","1181","43547868.28","170462.03","36873.72"
"Card Purchase","Debit Card","Mobile App","4997","41764908.40","366996.14","8358.00"
"Bank Transfer","QR Payment","Mobile App","1007","36384733.40","141539.35","36131.81"
"Bank Transfer","Bank Transfer","Web","1051","35728887.67","138172.44","33995.14"
"Bank Transfer","Mobile Wallet","Web","974","35138733.55","137680.43","36076.73"
"Bank Transfer","Debit Card","ATM","891","32854858.43","127721.92","36874.14"
"Online Payment","Debit Card","Mobile App","2574","31869516.71","310960.94","12381.32"
"Card Purchase","Bank Transfer","Mobile App","3713","31543780.65","275994.78","8495.50"
"Bank Transfer","Credit Card","Web","867","30721769.16","120831.81","35434.57"
"Card Purchase","Mobile Wallet","Mobile App","3413","28880182.54","254511.64","8461.82"
"Bill Payment","Debit Card","Mobile App","2546","27594849.54","161483.88","10838.51"
"Card Purchase","Debit Card","POS","3233","27373547.84","239987.68","8466.92"
"Bank Transfer","Bank Transfer","ATM","739","27195532.77","106259.10","36800.45"
"Card Purchase","Credit Card","Mobile App","3121","26208234.37","230616.06","8397.38"
"Cash Withdrawal","Debit Card","Mobile App","1664","25964446.97","303983.51","15603.63"
"Bank Transfer","Mobile Wallet","ATM","623","24095017.63","93117.25","38675.79"
"Online Payment","Bank Transfer","Mobile App","1891","22891034.32","222898.57","12105.25"
"Bank Transfer","QR Payment","POS","615","22000126.95","85681.33","35772.56"
"Bank Transfer","Credit Card","ATM","593","21885935.12","85171.29","36907.14"
"Bill Payment","Bank Transfer","Mobile App","1938","21549636.47","125764.83","11119.52"
"Online Payment","Debit Card","POS","1701","21273963.19","207630.88","12506.74"
"Card Purchase","Bank Transfer","POS","2495","21254448.88","186330.89","8518.82"
"Online Payment","Mobile Wallet","Mobile App","1734","20981698.66","204701.82","12100.17"
"Card Purchase","Debit Card","Web","2383","20092153.48","175959.18","8431.45"
"Bank Transfer","Debit Card","Branch","542","19793285.30","78464.52","36518.98"
"Bill Payment","Debit Card","POS","1821","19697302.75","115930.78","10816.75"
"Online Payment","Credit Card","Mobile App","1570","19010787.03","185683.04","12108.78"
"Card Purchase","Mobile Wallet","POS","2250","18869327.88","165770.25","8386.37"
"Bill Payment","Mobile Wallet","Mobile App","1679","18671629.39","109578.51","11120.68"
"Cash Withdrawal","Bank Transfer","Mobile App","1137","18033038.89","211936.85","15860.19"
"Bill Payment","Credit Card","Mobile App","1606","17919987.93","104793.22","11158.15"
"Card Purchase","Credit Card","POS","2088","17632945.60","153915.60","8444.90"
"Cash Withdrawal","Debit Card","POS","1107","16829794.91","196106.46","15203.07"
"Bank Transfer","QR Payment","Web","468","16654566.31","64274.58","35586.68"
"Cash Withdrawal","Mobile Wallet","Mobile App","1053","15942159.61","185993.32","15139.75"
"Bank Transfer","Bank Transfer","Branch","419","15814581.92","61444.37","37743.63"
"Online Payment","Bank Transfer","POS","1248","15695916.66","152480.21","12576.86"
"Card Purchase","Bank Transfer","Web","1818","15372313.51","135149.96","8455.62"
"Online Payment","Debit Card","Web","1199","15338709.26","150256.97","12792.92"
"Cash Withdrawal","Credit Card","Mobile App","952","14598963.22","170713.17","15335.05"
"Bill Payment","Bank Transfer","POS","1316","14574212.78","84647.44","11074.63"
"Online Payment","Mobile Wallet","POS","1167","14391356.79","141101.09","12331.93"
"Card Purchase","Mobile Wallet","Web","1650","14045154.96","121931.94","8512.22"
"Card Purchase","QR Payment","Mobile App","1700","13972751.55","122095.79","8219.27"
"Bill Payment","Debit Card","Web","1248","13569950.85","79342.62","10873.36"
"Bill Payment","Mobile Wallet","POS","1163","13398991.11","78241.24","11521.06"
"Card Purchase","Debit Card","ATM","1608","12851972.23","112800.67","7992.52"
"Cash Withdrawal","Debit Card","Web","778","12524885.26","146851.10","16098.82"
"Bank Transfer","Mobile Wallet","Branch","363","12501985.59","48112.39","34440.73"
"Online Payment","Credit Card","POS","984","12249328.75","118945.64","12448.50"
"Bank Transfer","QR Payment","ATM","303","12151325.85","47001.53","40103.39"
"Card Purchase","Credit Card","Web","1466","11897010.67","104616.07","8115.29"
"Cash Withdrawal","Bank Transfer","POS","733","11836893.68","139243.87","16148.56"
"Bank Transfer","Credit Card","Branch","310","11559449.42","45093.41","37288.55"
"Online Payment","Bank Transfer","Web","903","11357137.31","110303.51","12577.12"
"Online Payment","Mobile Wallet","Web","882","11200383.45","108788.51","12698.85"
"Bill Payment","Credit Card","POS","1011","11192296.13","65466.90","11070.52"
"Cash Withdrawal","Mobile Wallet","POS","723","11028071.88","127031.39","15253.21"
"Online Payment","QR Payment","Mobile App","840","10610028.94","103560.50","12630.99"
"Cash Withdrawal","Credit Card","POS","714","10497464.57","122930.33","14702.33"
"Online Payment","Debit Card","ATM","820","10125467.34","98776.38","12348.13"
"Card Purchase","Bank Transfer","ATM","1150","9953605.94","87593.06","8655.31"
"Bill Payment","QR Payment","Mobile App","904","9896668.69","57654.39","10947.64"
"Bill Payment","Bank Transfer","Web","893","9639126.74","56264.54","10794.09"
"Bill Payment","Mobile Wallet","Web","811","8981553.48","52465.03","11074.67"
"Card Purchase","Mobile Wallet","ATM","1046","8918573.58","78262.84","8526.36"
"Card Purchase","QR Payment","POS","1080","8908887.03","78880.57","8248.97"
"Cash Withdrawal","Bank Transfer","Web","548","8784289.71","102756.83","16029.73"
"Online Payment","Credit Card","Web","717","8728398.13","84603.94","12173.50"
"Bill Payment","Debit Card","ATM","798","8657551.71","51113.36","10849.06"
"Card Purchase","Debit Card","Branch","963","8404924.89","73481.01","8727.86"
"Bill Payment","Credit Card","Web","757","8371094.07","48714.93","11058.25"
"Cash Withdrawal","Mobile Wallet","Web","494","7967367.53","93009.72","16128.27"
"Cash Withdrawal","QR Payment","Mobile App","516","7822414.22","90927.16","15159.72"
"Card Purchase","Credit Card","ATM","909","7259752.17","64032.14","7986.53"
"Bank Transfer","QR Payment","Branch","196","7138277.77","28282.98","36419.78"
"Cash Withdrawal","Debit Card","ATM","452","7068360.02","81145.70","15637.96"
"Bill Payment","Bank Transfer","ATM","635","7036945.11","40997.61","11081.80"
"Online Payment","Bank Transfer","ATM","585","7019076.45","68910.37","11998.42"
"Card Purchase","QR Payment","Web","793","6939999.27","61213.46","8751.58"
"Online Payment","QR Payment","POS","538","6802131.05","66650.96","12643.37"
"Online Payment","Mobile Wallet","ATM","526","6697119.73","64453.12","12732.17"
"Bill Payment","QR Payment","POS","583","6622127.42","38359.71","11358.71"
"Online Payment","Credit Card","ATM","529","6499063.55","62987.82","12285.56"
"Bill Payment","Mobile Wallet","ATM","570","6472319.10","37506.22","11354.95"
"Cash Withdrawal","Credit Card","Web","443","6188452.49","73253.64","13969.42"
"Card Purchase","Bank Transfer","Branch","697","5969341.83","51848.16","8564.34"
"Online Payment","QR Payment","Web","436","5784209.85","56413.52","13266.54"
"Cash Withdrawal","Bank Transfer","ATM","394","5774755.36","67520.38","14656.74"
"Cash Withdrawal","Mobile Wallet","ATM","345","5609522.66","65537.39","16259.49"
"Cash Withdrawal","QR Payment","POS","356","5422166.88","63751.10","15230.81"
"Card Purchase","Mobile Wallet","Branch","605","5263651.51","45903.83","8700.25"
"Bill Payment","QR Payment","Web","432","5262093.95","30611.86","12180.77"
"Online Payment","Debit Card","Branch","460","5233606.08","50971.06","11377.40"
"Card Purchase","Credit Card","Branch","602","5184712.55","45211.96","8612.48"
