transaction_id,customer_id,transaction_date,transaction_type,payment_method,channel,transaction_amount,fee_amount,transaction_status
TXN00001616,CUST001921,2024-01-01,Cash Withdrawal,Mobile Wallet,Mobile App,12981.64,117.11,Completed
TXN00002151,CUST006355,2024-01-01,Card Purchase,Bank Transfer,Mobile App,4556.94,48.56,Completed
TXN00002317,CUST008365,2024-01-01,Bill Payment,Mobile Wallet,Mobile App,9972.26,61.96,Completed
TXN00002526,CUST003982,2024-01-01,Bank Transfer,Bank Transfer,Mobile App,44987.45,135.44,Completed
TXN00002612,CUST005629,2024-01-01,Card Purchase,QR Payment,POS,2672.18,21.86,Completed
TXN00003598,CUST005139,2024-01-01,Cash Withdrawal,Credit Card,ATM,5668.5,64.76,Completed
TXN00003792,CUST009732,2024-01-01,Bill Payment,Debit Card,POS,2180.19,11.92,Completed
TXN00003965,CUST001697,2024-01-01,Card Purchase,QR Payment,POS,17915.79,158.75,Completed
TXN00004338,CUST011713,2024-01-01,Bill Payment,Mobile Wallet,POS,6501.66,0.0,Reversed
TXN00004906,CUST010535,2024-01-01,Bank Transfer,Debit Card,ATM,29433.44,121.8,Completed
TXN00005472,CUST010843,2024-01-01,Bill Payment,Credit Card,Mobile App,12107.43,85.22,Completed
TXN00007774,CUST000846,2024-01-01,Online Payment,QR Payment,Mobile App,7911.52,62.55,Completed
TXN00007812,CUST008699,2024-01-01,Bill Payment,Credit Card,ATM,10610.36,71.05,Completed
TXN00008279,CUST002612,2024-01-01,Mobile Top-up,Mobile Wallet,ATM,4802.02,11.37,Completed
TXN00008298,CUST007092,2024-01-01,Bank Transfer,QR Payment,ATM,14991.51,0.0,Failed
TXN00011435,CUST000123,2024-01-01,Cash Withdrawal,QR Payment,Web,14498.25,178.14,Completed
TXN00011476,CUST003346,2024-01-01,Card Purchase,Credit Card,Mobile App,19506.98,155.07,Completed
TXN00011529,CUST003544,2024-01-01,Bill Payment,Mobile Wallet,Mobile App,15607.61,87.01,Completed
TXN00011906,CUST006231,2024-01-01,Card Purchase,Mobile Wallet,Web,3838.14,40.13,Completed
